"Introducción al Análisis Matemático",CB01,8,""
"Ciencia, Tecnología y Sociedad",CB02,4,""
"Química General",CB03,8,""
"Biología I",CB04,4,""
"Cálculo I",CB05,6,"CB01"
"Algebra y Geometría Analítica",CB06,6,"CB01"
"Química Inorgánica",CB08,8,"CB01,CB03"
"Sistemas de Representación Gráfica",CB37,4,""
"Cálculo II",CB09,8,"CB05,CB06"
"Física I",CB10,8,"CB01"
"Biología II",CB43,6,"CB03,CB04"
"Informática",CB29,4,""
"Química Orgánica",CB12,8,"CB08"
"Geología General",AMB16,4,"CB08"
"Física II A",CB13A,4,"CB05,CB10"
"Física III",CB15,8,"CB09,CB10"
"Microbiología Ambiental",AMB02,6,"CB12,CB43"
"Cálculo Avanzado",CB33,6,"CB06,CB09"
"Física IV",CB31,8,"CB13A,CB15"
"Fisicoquímica",CB16,6,"CB08,CB09"
"Ecología",CB25,6,"AMB02,AMB16"
"Estadística Aplicada",CB14,6,"CB05,CB29"
"Química Analítica",CB26,6,"CB12,CB16"
"Fenómenos de Transporte",AMB04,6,"CB16,CB33"
"Contaminación Atmosférica",AMB03,6,"CB14,AMB04"
"Normativa Ambiental",AMB18,4,"CB02,AMB02"
"Contaminación de Aguas y Suelos",AMB09,8,"AMB02,AMB04"
"Bioprocesos",AMB06,8,"AMB02,CB16"
"Taller Ambiental I",AMB07,6,"CB14,CB25,CB26"
"Procesos Fisicoquímicos en Ingeniería Ambiental",AMB17,6,"CB37,AMB04,AMB06"
"Toxicología Ambiental",AMB05,6,"CB25,CB26"
"Higiene y Seguridad Ambiental y Laboral",CMP01,4,"CB02,CB14"
"Electiva I",,4,""
"Ingeniería del Agua",AMB11,8,"AMB09,AMB17"
"Operaciones Unitarias en Ingeniería Ambiental",AMB15,4,"AMB06,AMB17"
"Evaluación de Impacto Ambiental",AMB12,4,"AMB07,AMB18"
"Economía",CMP02,4,"CB02,CB14"
"Electiva II",,4,""
"Práctica Profesional Supervisada",PPIAM,12.5,"AMB11,AMB12,AMB15,CMP02"
"Gestión Ambiental",AMB19,4,"AMB03,AMB18"
"Residuos Sólidos",AMB13,4,"AMB09,AMB17"
"Taller Ambiental II",AMB10,6,"AMB09,AMB15,AMB17"
"Proyecto Final Integrador",PFIAM,15,"AMB10,AMB13,AMB19"
"Electiva III",,4,""
"Formulación de Proyectos",AMB14,4,"AMB12,CMP02,AMB19"
