"Introducción al Análisis Matemático",CB01,8,""
"Ciencia, Tecnología y Sociedad",CB02,4,""
"Química General",CB03,8,""
"Introducción a la Informática",IE103,4,""
"Cálculo I",CB05,6,"CB01"
"Álgebra y Geometría Analítica I",CB06,6,""
"Sistemas de Representación Gráfica",IE004,4,"IE103"
"Física I",CB10,8,"CB01"
"Cálculo II",CB09,8,"CB05,CB06"
"Álgebra y Geometría Analítica II",CB28,4,"CB06"
"Informática",IE107,4,"IE104"
"Física II",CB13,8,"CB05,CB10"
"Cálculo III",CB30,8,"CB09,CB28"
"Programación",IE011,4,"CB06,IE107"
"Probabilidad y Estadística",IE012,4,"CB09"
"Física III",CB15,8,"CB09,CB13"
"Física IV",CB31,8,"CB15"
"Ciencias Morfológicas",IB001,4,"B04"
"Higiene, seguridad ambiental y laboral",IE029,4,"B04"
"Tecnologías de los Productos y Procesos",IB002,4,"CB02,IE004"
"Métodos numéricos",IE013,4,"CB09,CB28"
"Protección radiológica",IB003,4,"CB31"
"Modelos y sistemas",IB004,4,"CB30,IE012"
"Análisis y procesamiento de señales",IE025,8,"CB30,IE012,IE013"
"Medidas",IB005,4,"CB30,CB15"
"Biofísica",IB006,4,"IB001"
"Electrónica digital I",IB007,8,"IE107,IE011"
"Procesamiento de Imágenes",IB008,4,"IE013,IE025"
"Electrónica analógica",IB009,8,"IB002,IE025"
"Fisiología",IB010,4,"IB006"
"Electrónica digital II",IB011,8,"IB007"
"Electrotecnia",IB012,4,"IB004,IB005"
"Ingeniería Biomédica I",IB013,8,"IB010,IB009"
"Sensores, acondicionadores de señales y adquisición de datos",IE026,4,"IB005,IB007,IB009"
"Ingeniería Biomédica II",IB014,8,"IB011,IB013,IE026"
"Electiva",,4,"Según materia"
"Ingeniería Clínica",IB015,4,"IB012,IB013"
"Economía",IE031,4,"IE029"
"Biomecánica y Biomateriales",IB016,4,"IB010,IE026"
"Organización industrial",IE033,4,"IE029"
"Ingeniería Biomédica III",IB017,8,"IB008,IB014"
"Práctica profesional supervisada",IB018,12.5,"IB015,IE031"
"Ética y ejercicio profesional",IE032,4,"IE029"
"Electiva",,4,"Según materia"
"Ingeniería de la Rehabilitación",IB019,4,"IB016,IB017"
"Proyecto final integrador",IB070,12.5,"IE033,IB017"
