"Introducción al Análisis Matemático",CB01,8,""
"Ciencia, Tecnología y Sociedad",CB02,4,""
"Química general",CB03,8,""
"Introducción a la Informática",CB36,4,""
"Cálculo I",CB05,6,"CB01"
"Álgebra y Geometría Analítica I",CB06,6,"CB01"
"Física I",CB10,8,"CB01"
"Sistemas de Representación Gráfica",CB37,4,"CB36"
"Cálculo II",CB09,8,"CB05,CB06"
"Física II",CB13,8,"CB05,CB10"
"Álgebra y Geometría Analítica II",CB28,4,"CB06"
"Química Orgánica y Corrosión",CB44,4,"CB03,CB10"
"Cálculo Avanzado",CB33,6,"CB09,CB28"
"Probabilidad y Estadística",CB34,4,"CB09"
"Física III",CB15,8,"CB09,CB13"
"Estática y Resistencia de Materiales",IND02,6,"CB05,CB10"
"Microeconomía",CMP05,4,"CB02,CB09"
"Métodos Numéricos",CB35,4,"CB33"
"Energía y Medio Ambiente I",ERG01,4,"CB03,CB13"
"Geología y Prospección Petrolera",ERG12,4,"CB44"
"Electrotecnia y Máquinas Eléctricas",ERG17,8,"CB15"
"Termodinámica y Máquinas Térmicas",ERG15,6,"CB13,CB33"
"Mecánica de los Fluidos y Transferencia de Calor",ERG16,6,"CB13,CB33"
"Generación Eléctrica",ERG13,8,"ERG17"
"Energías Renovables I",ERG18,4,"CB15,ERG01"
"Higiene y Seguridad Ambiental y Laboral",CMP01,4,"ERG01"
"Tecnologías de Gas y Petróleo",ERG19,8,"ERG12,ERG16"
"Formulación y Evaluación de Proyectos",CMP08,4,"ERG01,CMP05"
"Transporte y Distribución de Electricidad",ERG20,4,"ERG17"
"Política y Gestión Energética",CMP09,4,"ERG01,CMP05"
"Marcos Regulatorios y Legislación Energética",ERG04,4,"ERG01"
"Producción, Transporte y Distribución de Combustibles",ERG06,8,"ERG19"
"Planeamiento y Organización de los Servicios Energéticos",ERG08,4,"CMP08"
"Ahorro, Eficiencia y Uso Racional de la Energía",ERG21,4,"ERG17"
"Energías Renovables II",ERG22,4,"ERG18"
"Práctica Profesional Supervisada I",PPS01,25,"CMP01,ERG19,ERG20"
"Práctica Profesional Supervisada II",PPS02,25,"PPS01"
"Proyecto Final Integrador (Tesis)",PFITE,25,"CMP09,ERG04,ERG06,ERG08"
"Proyecto Final Integrador (Proyecto y diseño)",PFIPD,25,"CMP09,ERG04,ERG06,ERG08"
